No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	1	470uF	C1	CAP-TH_BD8.0-P3.50-D0.6-FD	470uF	KM471M025F115A	CapXon(丰宾)	C59417	LCSC
2	1	330nF	C2	C0603	330nF	CGA3E3X7R1E334KT0Y0N	TDK	C445737	LCSC
3	1	100nF	C3	C0603	100nF	C0603C104K3RACTU	KEMET(基美)	C2167527	LCSC
4	1	1uF	C4	C0603	1uF	CL10B105KA8NNNC	SAMSUNG(三星)	C29936	LCSC
5	1	HX PH254-01-03-Z-L11.5 pcb pin header	H1	HDR-TH_3P-P2.54-V-M-1		HX PH254-01-03-Z-L11.5 pcb pin header	hanxia(韩下)	C52016391	LCSC
6	1	L78L05ACZ	IC1	TO-92-3_L4.9-W3.7-P1.27-L		L78L05ACZ	ST(意法半导体)	C57900	LCSC
7	2	BC850C	Q1,Q2	SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR		BC850C	YFW(佑风微)	C19626402	LCSC
8	1	IRF9Z34NPBF	Q4	TO-220-3_L10.0-W4.5-P2.54-L		IRF9Z34NPBF	Infineon(英飞凌)	C500523	LCSC
9	1	10kΩ	R1	R0603	10kΩ	0603WAF1002T5E	UNI-ROYAL(厚声)	C25804	LCSC
10	1	4.7kΩ	R2	R0603	4.7kΩ	0603WAF4701T5E	UNI-ROYAL(厚声)	C23162	LCSC
11	1	22kΩ	R3	R0603	22kΩ	0603WAF2202T5E	UNI-ROYAL(厚声)	C31850	LCSC
12	2	12kΩ	R4,R5	R0402	12kΩ	0402WGF1202TCE	UNI-ROYAL(厚声)	C25752	LCSC
13	1	3kΩ	R6	R0402	3kΩ	FRC0402F3001TS	FOJAN(富捷)	C2909355	LCSC
14	1	2kΩ	R7	RES-ADJ-TH_3P-L7.1-W6.9-P2.50-L_3362P	2kΩ	3362P-1-202	BOCHEN(博晨)	C118929	LCSC
15	1	15.5*10.5*21	U1	SINK-TH_L15.0-W10.5-H21.0		15.5*10.5*21	XSD(鑫顺达)	C4649	LCSC
